種別,放送局名,事業者名,本社所在地,系列,放送対象地域,コールサイン,周波数(kHz),出力(kW),送信所名,送信所所在地,親局
AM放送,NHK札幌第2放送,NHK札幌放送局,-,NHK,北海道,JOIB,747,500,札幌,北海道江別市,親局
AM放送,NHK函館第2放送,NHK函館放送局,-,NHK,北海道,JOVB,1467,1,函館,北海道函館市,親局
AM放送,NHK函館第2放送,NHK函館放送局,-,NHK,北海道,-,1359,0.1,江差,北海道檜山郡江差町,中継局
AM放送,NHK函館第2放送,NHK函館放送局,-,NHK,北海道,-,1539,0.1,今金,北海道瀬棚郡今金町,中継局
AM放送,NHK旭川第2放送,NHK旭川放送局,-,NHK,北海道,JOCC,1602,1,旭川,北海道旭川市,親局
AM放送,NHK旭川第2放送,NHK旭川放送局,-,NHK,北海道,-,1359,0.1,留萌,北海道留萌市,中継局
AM放送,NHK旭川第2放送,NHK旭川放送局,-,NHK,北海道,-,1467,1,稚内,北海道稚内市,中継局
AM放送,NHK旭川第2放送,NHK旭川放送局,-,NHK,北海道,-,1125,1,名寄,北海道名寄市,中継局
AM放送,NHK旭川第2放送,NHK旭川放送局,-,NHK,北海道,-,1359,0.1,中頓別,北海道枝幸郡中頓別町,中継局
AM放送,NHK旭川第2放送,NHK旭川放送局,-,NHK,北海道,-,1602,1,遠別,北海道天塩郡遠別町,中継局
AM放送,NHK帯広第2放送,NHK帯広放送局,-,NHK,北海道,JOOC,1125,1,帯広,北海道河東郡音更町,親局
AM放送,NHK釧路第2放送,NHK釧路放送局,-,NHK,北海道,JOPC,1152,10,釧路,北海道釧路市,親局
AM放送,NHK釧路第2放送,NHK釧路放送局,-,NHK,北海道,-,1359,0.1,根室,北海道根室市,中継局
AM放送,NHK釧路第2放送,NHK釧路放送局,-,NHK,北海道,-,1539,0.1,中標津,北海道中標津町,中継局
AM放送,NHK北見第2放送,NHK北見放送局,-,NHK,北海道,JOKD,702,10,北見,北海道網走市,親局
AM放送,NHK北見第2放送,NHK北見放送局,-,NHK,北海道,-,1539,0.1,遠軽,北海道紋別郡遠軽町,中継局
AM放送,NHK室蘭第2放送,NHK室蘭放送局,-,NHK,北海道,JOIZ,1125,1,室蘭,北海道室蘭市,親局
AM放送,NHK室蘭第2放送,NHK室蘭放送局,-,NHK,北海道,-,1602,0.1,浦河,北海道浦河郡浦河町,中継局
AM放送,NHK青森第2放送,NHK青森放送局,-,NHK,青森県,JOTC,1521,1,青森,青森県青森市,親局
AM放送,NHK青森第2放送,NHK青森放送局,-,NHK,青森県,-,1467,0.5,弘前,青森県弘前市,中継局
AM放送,NHK青森第2放送,NHK青森放送局,-,NHK,青森県,-,1377,1,八戸,青森県八戸市,中継局
AM放送,NHK盛岡第2放送,NHK盛岡放送局,-,NHK,岩手県,JOQC,1386,10,盛岡,岩手県紫波郡矢巾町,親局
AM放送,NHK盛岡第2放送,NHK盛岡放送局,-,NHK,岩手県,-,1602,0.1,釜石,岩手県釜石市,中継局
AM放送,NHK盛岡第2放送,NHK盛岡放送局,-,NHK,岩手県,-,1359,0.1,宮古,岩手県宮古市,中継局
AM放送,NHK盛岡第2放送,NHK盛岡放送局,-,NHK,岩手県,-,1359,0.1,大船渡,岩手県大船渡市,中継局
AM放送,NHK盛岡第2放送,NHK盛岡放送局,-,NHK,岩手県,-,1539,0.1,久慈,岩手県久慈市,中継局
AM放送,NHK盛岡第2放送,NHK盛岡放送局,-,NHK,岩手県,-,1602,0.1,岩泉,岩手県下閉伊郡岩泉町,中継局
AM放送,NHK仙台第2放送,NHK仙台放送局,-,NHK,宮城県,JOHB,1089,10,仙台,宮城県仙台市,親局
AM放送,NHK仙台第2放送,NHK仙台放送局,-,NHK,宮城県,-,1539,0.1,気仙沼,宮城県気仙沼市,中継局
AM放送,NHK秋田第2放送,NHK秋田放送局,-,NHK,秋田県,JOUB,774,500,秋田,秋田県南秋田郡大潟村,親局
AM放送,NHK秋田第2放送,NHK秋田放送局,-,NHK,秋田県,-,1359,0.1,大館,秋田県大館市,中継局
AM放送,NHK秋田第2放送,NHK秋田放送局,-,NHK,秋田県,-,1602,0.1,横手,秋田県横手市,中継局
AM放送,NHK秋田第2放送,NHK秋田放送局,-,NHK,秋田県,-,1521,0.1,花輪,秋田県鹿角市,中継局
AM放送,NHK山形第2放送,NHK山形放送局,-,NHK,山形県,JOJC,1521,1,山形,山形県山形市,親局
AM放送,NHK山形第2放送,NHK山形放送局,-,NHK,山形県,-,1035,1,鶴岡,山形県鶴岡市,中継局
AM放送,NHK山形第2放送,NHK山形放送局,-,NHK,山形県,-,1359,0.1,米沢,山形県米沢市,中継局
AM放送,NHK山形第2放送,NHK山形放送局,-,NHK,山形県,-,1539,0.1,新庄,山形県新庄市,中継局
AM放送,NHK福島第2放送,NHK福島放送局,-,NHK,福島県,JOFD,1602,1,福島,福島県福島市,親局
AM放送,NHK福島第2放送,NHK福島放送局,-,NHK,福島県,-,1512,1,郡山,福島県郡山市,中継局
AM放送,NHK福島第2放送,NHK福島放送局,-,NHK,福島県,-,1539,0.1,いわき,福島県いわき市,中継局
AM放送,NHK福島第2放送,NHK福島放送局,-,NHK,福島県,-,1539,0.1,会津若松,福島県会津若松市,中継局
AM放送,NHK福島第2放送,NHK福島放送局,-,NHK,福島県,-,1359,0.1,只見,福島県南会津郡只見町,中継局
AM放送,NHK福島第2放送,NHK福島放送局,-,NHK,福島県,-,1602,0.1,田島,福島県南会津郡南会津町,中継局
AM放送,NHK東京第2放送,NHK放送センター,-,NHK,関東広域圏,JOAB,693,500,東京,埼玉県久喜市,親局
AM放送,NHK新潟第2放送,NHK新潟放送局,-,NHK,新潟県,JOQB,1593,10,新潟,新潟県新潟市,親局
AM放送,NHK新潟第2放送,NHK新潟放送局,-,NHK,新潟県,-,1359,0.1,高田,新潟県上越市,中継局
AM放送,NHK新潟第2放送,NHK新潟放送局,-,NHK,新潟県,-,1539,0.1,津南,新潟県中魚沼郡津南町,中継局
AM放送,NHK甲府第2放送,NHK甲府放送局,-,NHK,山梨県,JOKC,1602,1,甲府,山梨県甲府市,親局
AM放送,NHK長野第2放送,NHK長野放送局,-,NHK,長野県,JONB,1467,1,長野,長野県長野市,親局
AM放送,NHK長野第2放送,NHK長野放送局,-,NHK,長野県,-,1512,1,松本,長野県松本市,中継局
